WORKCENTER,WEEK_ENDING,WKOR_PRODUCT_CODE,SumOfstdhours,SumOfOThours,SumOfdthrs,SumOftotalhrs,comp_work,PTB,defects,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,totrwkhrs,total_def_cost
J0045305,2018/10/27,MD,13.3,3.4,8.4,25.1,2,7.97%,,,,,,
J0045305,2018/10/27,MG,32.9,8.8,0,41.7,,0,,,,,,
J0045305,2018/10/27,WM,86.5,19.8,0,106.3,,0,,,,,,
J0045305,2018/11/03,BC,18.5,1.1,0,19.6,,0,,,,,,
J0045305,2018/11/03,BW,153.9,23.8,10.8,188.5,,0,,,,,,
J0045305,2018/11/03,MD,22.2,7.1,0,29.3,,0,,,,,,
J0045305,2018/11/03,MG,35.8,1.3,6.9,44,,0,,,,,,
J0045305,2018/11/03,WM,66.4,16.7,10.7,93.8,,0,,,,,,
J0045305,2018/11/10,BC,25.5,0,0,25.5,,0,,,,,,
J0045305,2018/11/10,BW,122.9,31.3,15.7,169.9,,0,,,,,,
J0045305,2018/11/10,MD,11.5,0,7,18.5,,0,,,,,,
J0045305,2018/11/10,MG,30.3,5.7,9.2,45.2,,0,,,,,,
J0045305,2018/11/10,WA,3.3,0,0,3.3,,0,,,,,,
J0045305,2018/11/10,WM,86.1,30.4,0,116.5,3.84,3.30%,,,,,,
J0045305,2018/11/17,BC,49.3,0,0,49.3,1.548,3.14%,,,,,,
J0045305,2018/11/17,BW,118.8,18.9,26.2,163.9,,0,,,,,,
J0045305,2018/11/17,MD,20.9,2.7,5.5,29.1,1,3.44%,,,,,,
J0045305,2018/11/17,MG,23,0,0,23,,0,,,,,,
J0045305,2018/11/17,WM,48.5,15.7,16.3,80.5,,0,,,,,,
J0045305,2018/11/24,BC,16.3,0,0,16.3,,0,,,,,,
J0045305,2018/11/24,BW,53.8,4.8,14.1,72.7,0.25,0.34%,,,,,,
J0045305,2018/11/24,MD,3.5,0,2.4,5.9,,0,,,,,,
J0045305,2018/11/24,MG,29.1,0,1.5,30.6,,0,,,,,,
J0045305,2018/11/24,WM,0,3,0.3,3.3,,0,,,,,,
J0045305,2018/12/01,BC,24.7,3.4,0,28.1,,0,,,,,,
J0045305,2018/12/01,BW,122.8,25.1,0,147.9,0.25,0.17%,,,,,,
J0045305,2018/12/01,MD,3.6,0,0,3.6,,0,,,,,,
J0045305,2018/12/01,MG,76.7,12.6,0,89.3,,0,,,,,,
J0045305,2018/12/01,WM,56.6,22.3,0,78.9,,0,,,,,,
J0045305,2018/12/08,BC,32.5,5.9,8.1,46.5,,0,,,,,,
J0045305,2018/12/08,BW,115.9,20.2,16.3,152.4,,0,,,,,,
J0045305,2018/12/08,MD,22.4,6.4,0,28.8,,0,,,,,,
J0045305,2018/12/08,MG,13.4,13.1,1.7,28.2,,0,,,,,,
J0045305,2018/12/08,WM,116,31.4,6.4,153.8,,0,,,,,,
J0045305,2018/12/15,BC,11.8,6.7,0,18.5,,0,,,,,,
J0045305,2018/12/15,BV,0.1,0,1.2,1.3,,0,,,,,,
J0045305,2018/12/15,BW,157.7,18.5,13.5,189.7,,0,,,,,,
J0045305,2018/12/15,MD,17.1,0.4,0,17.5,1,5.71%,,,,,,
J0045305,2018/12/15,MG,30.7,1.1,14,45.8,,0,,,,,,
J0045305,2018/12/15,WM,47.3,0,26.7,74,,0,,,,,,
J0045305,2018/12/22,BC,26,1.2,4.7,31.9,,0,,,,,,
J0045305,2018/12/22,BW,106.9,12.8,20.4,140.1,,0,,,,,,
J0045305,2018/12/22,MD,36.4,8.6,0,45,,0,,,,,,
J0045305,2018/12/22,MG,36.3,0,0,36.3,,0,,,,,,
J0045305,2018/12/22,WM,29.6,0,0,29.6,,0,,,,,,
J0045305,2018/12/29,BW,0,7.8,61.5,69.3,2,2.89%,,,,,,
J0045305,2018/12/29,MD,0,9.9,22.7,32.6,,0,,,,,,
J0045305,2018/12/29,MG,0,4.3,3,7.3,,0,,,,,,
J0045305,2018/12/29,WM,0,1.6,1,2.6,,0,,,,,,
J0045305,2019/01/05,BC,21.4,0,0,21.4,,0,,,,,,
J0045305,2019/01/05,BW,66.3,6.4,1.5,74.2,0.25,0.34%,,,,,,
J0045305,2019/01/05,MD,16.5,4,0,20.5,1,4.88%,,,,,,
J0045305,2019/01/05,MG,26.2,9.4,0,35.6,,0,,,,,,
J0045305,2019/01/05,WM,50.6,28.5,6.3,85.4,,0,,,,,,
J0045305,2019/01/12,BC,19.8,0,0,19.8,,0,,,,,,
J0045305,2019/01/12,BV,0,0,0,0,,#DIV/0!,,,,,,
J0045305,2019/01/12,BW,102.3,8.9,0,111.2,0.25,0.22%,,,,,,
J0045305,2019/01/12,MD,13.9,3.2,7.9,25,1,4.00%,,,,,,
J0045305,2019/01/12,MG,27.8,7.1,8.7,43.6,,0,,,,,,
J0045305,2019/01/12,WA,0.4,0,0,0.4,,0,,,,,,
J0045305,2019/01/12,WM,71,39.2,21.9,132.1,,0,,,,,,
J0045305,2019/01/19,BC,27.9,2.2,0,30.1,,0,,,,,,
